#,Airport,Departures,Arrivals,Total,Departure,Average,Arrival,Average
,,,,Operations,Seats,Departure,Seats,Arrival
,,,,,,Seats,,Seats
156,MSP - Minneapolis,176478 ,176395 ,352873 ,22032363 ,124 ,22041364 ,124 
157,MSY - New Orleans,60195 ,60218 ,120413 ,8233386 ,136 ,8236605 ,136 
158,MTJ - Montrose,2701 ,2643 ,5344 ,140079 ,51 ,139667 ,52 
159,MYR - Myrtle Beach,10280 ,10380 ,20660 ,1304225 ,126 ,1303339 ,125 
160,OAJ - Jacksonville,863 ,862 ,1725 ,36582 ,42 ,36599 ,42 
161,OAK - Oakland,67500 ,67523 ,135023 ,7983084 ,118 ,7981577 ,118 
162,OGG - Kahului,35440 ,35299 ,70739 ,4627672 ,130 ,4633912 ,131 
163,OKC - Oklahoma City,24144 ,24089 ,48233 ,2491313 ,103 ,2490662 ,103 
164,OMA - Omaha,30454 ,29997 ,60451 ,2860666 ,93 ,2862742 ,95 
165,ONT - Ontario,28220 ,28006 ,56226 ,3146976 ,111 ,3133252 ,111 
166,ORD - Chicago,397451 ,397454 ,794905 ,48677116 ,122 ,48725058 ,122 
167,OXR - Oxnard,205 ,214 ,419 ,1890 ,9 ,1819 ,8 
168,PBI - West Palm Beach,35709 ,35659 ,71368 ,4106636 ,115 ,4106864 ,115 
169,PDX - Portland,74452 ,74396 ,148848 ,10221456 ,137 ,10212624 ,137 
170,PHL - Philadelphia,156438 ,156347 ,312785 ,18577510 ,118 ,18577333 ,118 
171,PHX - Phoenix,174344 ,174320 ,348664 ,24523203 ,140 ,24523409 ,140 
172,PIA - Peoria,3544 ,3535 ,7079 ,234296 ,66 ,234272 ,66 
173,PIH - Pocatello,2048 ,2023 ,4071 ,60871 ,29 ,60360 ,29 
174,PIT - Pittsburgh,57106 ,57124 ,114230 ,5448663 ,95 ,5448227 ,95 
175,PNS - Pensacola,11550 ,11533 ,23083 ,1055698 ,91 ,1054989 ,91 
176,PSP - Palm Springs,14532 ,14579 ,29111 ,1518981 ,104 ,1523440 ,104 
177,PVD - Providence,17947 ,17919 ,35866 ,2034775 ,113 ,2031928 ,113 
178,PWM - Portland,12228 ,12311 ,24539 ,981426 ,80 ,982542 ,79 
179,RAP - Rapid City,4916 ,4935 ,9851 ,306878 ,62 ,307403 ,62 
180,RDD - Redding,4152 ,3266 ,7418 ,84691 ,20 ,80596 ,24 
181,RDM - Redmond,5765 ,5770 ,11535 ,418773 ,72 ,419056 ,72 
182,RDU - Raleigh/Durham,66629 ,66658 ,133287 ,7780867 ,116 ,7784932 ,116 
183,RFD - Chicago/Rockford,3871 ,3870 ,7741 ,155978 ,40 ,156049 ,40 
184,RIC - Richmond,25045 ,25043 ,50088 ,2418253 ,96 ,2417776 ,96 
185,RKS - Rock Springs,1233 ,1235 ,2468 ,37683 ,30 ,37652 ,30 
186,RNO - Reno,22131 ,22145 ,44276 ,2536846 ,114 ,2537675 ,114 
187,ROA - Roanoke,6190 ,6207 ,12397 ,332788 ,53 ,333406 ,53 
188,ROC - Rochester,15071 ,15060 ,30131 ,1258698 ,83 ,1256325 ,83 
189,ROW - Roswell,1861 ,2055 ,3916 ,101622 ,54 ,109233 ,53 
190,RST - Rochester,4242 ,4243 ,8485 ,177622 ,41 ,176897 ,41 
191,RSW - Fort Myers,37178 ,37219 ,74397 ,5643270 ,151 ,5650036 ,151 
192,SAF - Santa Fe,2510 ,2519 ,5029 ,121377 ,48 ,121537 ,48 
193,SAN - San Diego,103376 ,103445 ,206821 ,14681098 ,142 ,14693406 ,142 
194,SAT - San Antonio,48673 ,48741 ,97414 ,6116033 ,125 ,6110441 ,125 
195,SAV - Savannah,15994 ,15923 ,31917 ,1443674 ,90 ,1444195 ,90 
196,SBA - Santa Barbara,10513 ,10551 ,21064 ,556630 ,52 ,556930 ,52 
197,SBN - South Bend,7726 ,7749 ,15475 ,437856 ,56 ,437790 ,56 
198,SBP - San Luis Obispo,5789 ,5863 ,11652 ,306217 ,52 ,306553 ,52 
199,SDF - Louisville,26180 ,26168 ,52348 ,2283011 ,87 ,2281868 ,87 
200,SEA - Seattle,178305 ,178355 ,356660 ,27700667 ,155 ,27704594 ,155 
201,SFO - San Francisco,213506 ,213031 ,426537 ,34232059 ,160 ,34143887 ,160 
202,SGF - Springfield,7863 ,7861 ,15724 ,440331 ,56 ,440619 ,56 
203,SGU - St George,3108 ,3104 ,6212 ,136744 ,43 ,136737 ,44 
204,SHV - Shreveport,5725 ,5734 ,11459 ,293097 ,51 ,293626 ,51 
205,SJC - San Jose,78799 ,78771 ,157570 ,9872803 ,125 ,9870155 ,125 
206,SJT - San Angelo,2935 ,3328 ,6263 ,87546 ,29 ,87403 ,26 
207,SJU - San Juan,45776 ,45123 ,90899 ,5128107 ,112 ,5124449 ,113 
208,SLC - Salt Lake City,130378 ,130269 ,260647 ,15228176 ,116 ,15230531 ,116 
209,SMF - Sacramento,60917 ,60846 ,121763 ,7551965 ,123 ,7549571 ,124 
210,SNA - Santa Ana,50662 ,50664 ,101326 ,5909102 ,116 ,5914382 ,116 
211,SPI - Springfield,2207 ,2202 ,4409 ,100695 ,45 ,100874 ,45 
212,SPS - Wichita Falls,1678 ,4036 ,5714 ,51830 ,30 ,55213 ,13 
213,STL - St Louis,80696 ,80481 ,161177 ,8886006 ,110 ,8884334 ,110 
214,SWF - Newburgh,4171 ,4143 ,8314 ,324914 ,77 ,324318 ,78 
215,SYR - Syracuse,14463 ,14483 ,28946 ,1306831 ,90 ,1307225 ,90 
216,TEB - Teterboro,24451 ,24532 ,48983 ,266421 ,10 ,267110 ,10 
217,TLH - Tallahassee,6117 ,6118 ,12235 ,345858 ,56 ,346357 ,56 
218,TOL - Toledo,2347 ,2342 ,4689 ,155372 ,66 ,156117 ,66 
219,TPA - Tampa,90230 ,90335 ,180565 ,12577100 ,139 ,12585369 ,139 
220,TUL - Tulsa,19462 ,19503 ,38965 ,1849943 ,95 ,1851592 ,94 
221,TUS - Tucson,19041 ,19090 ,38131 ,2085445 ,109 ,2087032 ,109 
222,TVC - Traverse City,5733 ,5772 ,11505 ,326576 ,56 ,327596 ,56 
223,TWF - Twin Falls,2291 ,2273 ,4564 ,77298 ,33 ,75540 ,33 
224,TYR - Tyler,2397 ,2424 ,4821 ,67148 ,28 ,67206 ,27 
225,TYS - Knoxville,13032 ,13018 ,26050 ,952740 ,73 ,952493 ,73 
226,VEL - Vernal,747 ,748 ,1495 ,29662 ,39 ,29667 ,39 
227,VLD - Valdosta,1529 ,1523 ,3052 ,55986 ,36 ,55742 ,36 
228,VNY - Van Nuys,9676 ,9707 ,19383 ,108102 ,11 ,108898 ,11 
229,XNA - Fayetteville/Springdale/,11543 ,11560 ,23103 ,915663 ,79 ,917045 ,79 
230,YUM - Yuma,2220 ,2216 ,4436 ,125506 ,56 ,125096 ,56 
,SCE,5253 ,5253 ,10506 ,134000 ,26 ,134000 ,26 
,FCA,4952 ,4952 ,9904 ,342000 ,69 ,346000 ,69 
,MQT,1597 ,1597 ,3194 ,57000 ,36 ,58000 ,36 
,,,,,,,,
